種	NO.	カード名	強さ/テク	タイプ	*	データ	*	Dinosaur King 2007 CODE39  Species	No.	Name of card	Strength/Tech	Type	*	Data	*
風	76	カマイタチ	-	-	*	SEGARMWOPON9	*	The wind.	76	Kamaitachi	-	-	*	Segarm Wopon 9	*
風	77	ニンジャアタック	-	-	*	SEGAPI608L0N	*	The wind.	77	Ninja Attack	-	-	*	SEGAPI608L0N	*
風	78	トルネードブロー	-	-	*	SEGALS8WVD2B	*	The wind.	78	Tornadobrough	-	-	*	SEGALS 8WVD2B	*
風	79	サイクロン	-	-	*	SEGA5PVWCUOB	*	The wind.	79	Cyclones	-	-	*	Sega 5 PV W CUOB	*
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
EGG	1	炎のたまご	-	-	*	SEGA8EVXJ7FB	*	Egg	1	Eggs of Fire	-	-	*	SEGA8EVXJ7FB	*
-	D-09	マルム（草）恐竜王	-	-	*	SEGAM8C6EQHM	*	-	D-09	Marm (grass) dinosaur king	-	-	*	SEGAM8C6EQHM	*
-	-	超恐竜王カード03　マルム	-	-	*	SEGA8HZMRS2M	*	-	-	Super Dinosaur King Card03 Malm	-	-	*	SEGA8HZMRS2M	*
-	-	アクト団Dr.ソーノイダ	-	-	*	SEGA0ET2DF87	*	-	-	Act Group Dr. Sonoida	-	-	*	SEGA0ET2DF87	*
-	-	【第１紀＋(プラス)】	-	-	-	-	-	-	-	[1st year + (plus)]	-	-	-	-	-
竜	-	パキケファロサウルス	2000	そっこう	*	SEGAC8J4CDQL	*	Dragon	-	Paquikefarosaurus	2000	So, let's go.	*	SEGAC8J4CDQL	*
竜	-	エウオプロケファルス	2000	ピンチ	*	SEGA0Z42L309	*	Dragon	-	Eou Procefals	2000	Pinch	*	SEGA0Z42L309	*
竜	-	コリトサウルス	1400	カウンター	*	SEGA1HPY2WVV	*	Dragon	-	Coritosaurus	1400	Counter	*	SEGA1HPY2WVV	*
竜	-	エウストレプトスポンディルス	1200	ピンチ	*	SEGAGB2VU9BV	*	Dragon	-	Eustreptops Pondilus	1200	Pinch	*	SEGAGB2VU9BV	*
土	-	クエイクセイバー	-	-	*	SEGAOFA2WXHA	*	Sat	-	Quake Saber	-	-	*	SEGAOFA2WXHA	*
竜	-	スピノサウルス	2000	そっこう	*	SEGA4RTXYUXC	*	Dragon	-	Spinosaurus	2000	So, let's go.	*	Sega 4RTXYUXC	*
竜	-	カルカロドントサウルス	1800	そっこう	*	SEGA4MPNH5PB	*	Dragon	-	Carthodontosaurus	1800	So, let's go.	*	SEGA 4MPNH 5PB	*
竜	-	シャントゥンゴサウルス	1600	カウンター	*	SEGAGRQ7RVWY	*	Dragon	-	Shantungosaurus	1600	Counter	*	Sega Gr Q 7RVWY	*
竜	-	カスモサウルス	1400	ピンチ	*	SEGASRWZQGYP	*	Dragon	-	Kasmosaurus	1400	Pinch	*	Sega Srewzqgyp	*
竜	-	ケントロサウルス	1400	そっこう	*	SEGACN6361O6	*	Dragon	-	Kentosaurus	1400	So, let's go.	*	SEGACN 63 61 O6	*
竜	-	モノロフォサウルス	1200	ピンチ	*	SEGAAGBGH3LW	*	Dragon	-	Monolophosaurus	1200	Pinch	*	Sega AGBGH 3LW	*
竜	-	エイニオサウルス	1000	ピンチ	*	SEGA77YL5U7O	*	Dragon	-	Aeniosaurus	1000	Pinch	*	Sega 77YL5U7O	*
-	DMC-01/02	Ｄキッズ・メンバーズカード	-	-	*	SEGAF4XLP2Z8	*	-	DMC-01/02	D Kids Members Card	-	-	*	SEGAF4XLP2Z8	*
-	-	【第２紀】	-	-	-	-	-	-	-	[Second century]	-	-	-	-	-
竜	-	パキケファロサウルス	2000	あいこ	*	SEGAZ0NJFH34	*	Dragon	-	Paquikefarosaurus	2000	Aiko	*	SEGAZ0NJFH34	*
-	AN01	ガブ	1600	超ピンチ	*	SEGA9B6G6VQZ	*	-	AN01	Gab	1600	Super-pinch	*	SEGA9B6G6VQZ	*
-	AN02	エース	1600	超そっこう	*	SEGAFP3DAU7L	*	-	AN02	Ace	1600	Super soso	*	Segf 3DAU7L	*
-	AN03	パラパラ	1600	超カウンター	*	SEGAEQ0BBZ2B	*	-	AN03	Parapara	1600	Super Counter	*	SEGAEQ0BBZ2B	*
竜	38	サウロロフス	2000	そっこう	*	SEGA8VMI8KAK	*	Dragon	38	Saurolovus	2000	So, let's go.	*	SEGA8VMI8KAK	*
竜	29	ダスプレトサウルス	1800	そっこう	*	SEGA8NCVMX1F	*	Dragon	29	Daspretosaurus	1800	So, let's go.	*	SEGA8 NCVM MX1F	*
竜	42	デルタドロメウス	1600	そっこう	*	SEGAE9B81T5T	*	Dragon	42	Delta Delomeus	1600	So, let's go.	*	SEGAE 9B81T5T	*
竜	37	ダケントルルス	1200	カウンター	*	SEGAO9OIJEUV	*	Dragon	37	Dakentrulus	1200	Counter	*	SEGAO9OIJEUV	*
竜	32	オピストコエリカウディア	1000	ピンチ	*	SEGANAKEBCU1	*	Dragon	32	Opistocoelikadia	1000	Pinch	*	Seganake BCU 1	*
竜	34	ブラキケラトプス	1000	そっこう	*	SEGA8R2QU45B	*	Dragon	0 34	Brakikeratops	1000	So, let's go.	*	SEGA8R2QU45B	*
炎	78	デスファイア	-	-	*	SEGAJO6WYC81	*	Flames	78	Deathfire	-	-	*	Segajo 6 WYC 81	*
水	83	フタバメガキャノン	-	-	*	SEGAN2A8I8P7	*	Water	83	Futaba Mega Cannon	-	-	*	SEGAN2A8I8P7	*
技	69	スカイダイブ	!	-	*	SEGA3U3EX03B	*	Techniques	69	Skydive	!	-	*	SEGA3U3EX03B	*
技	72	あいこバクダン	!	-	*	SEGARCZ4HO07	*	Techniques	72	Aiko Bakdan	!	-	*	SEGARCZ4HO07	*
竜	EX03	フクイサウルス	1200	ピンチ	*	SEGAVT796Q6F	*	Dragon	EX03	Fukiasaurus	1200	Pinch	*	SEGAVT 796Q6F	*
竜	EX04	フクイラプトル	1200	そっこう	*	SEGAPUJ9JPK7	*	Dragon	EX04	Fukiraptor	1200	So, let's go.	*	SEGAPU J9JPK7	*
-	-	【第３紀】	-	-	-	-	-	-	-	[Third century]	-	-	-	-	-
-	AN04	ティラノ　アクト団	1600	超こうげき	*	SEGA3JH79ZSI	*	-	AN04	Tirano Act	1600	Super Kogeki	*	SEGA3 JH79ZSI	*
-	AN05	スピノ　アクト団	1600	超あいこ	*	SEGACKT6EP1B	*	-	AN05	Spino Act	1600	Super Aiko	*	Segac T 6 EP 1B	*
-	AN06	サイカ　アクト団	1600	超まもり	*	SEGA0HNJOLH7	*	-	AN06	Saika Act	1600	Super Mamori	*	SEGA0HN PROJOLH7	*
竜	4	サイカニア	2000	とつげき	*	SEGALWIRB9EX	*	Dragon	4	Saicania	2000	とつげき	*	Segalwir B 9ex	*
竜	8	ユタラプトル	1800	ハンター	*	SEGAZK86PO4C	*	Dragon	8	Yutaraptor	1800	Hunter	*	SEGAZK 86PO4C	*
竜	12	アクロカントサウルス	1400	そっこう	*	SEGANN4BIORL	*	Dragon	01 2	Acrocantosaurus	1400	So, let's go.	*	SEGANN4 BIORL	*
竜	13	サルタサウルス	1400	ゆうき	*	SEGAGA7JZJCT	*	Dragon	13	Sartasaurus	1400	Yuuki	*	Segaga 7 JZJCT	*
竜	14	マイアサウラ	1400	とつげき	*	SEGAJAF0UYWH	*	Dragon	14	Maiasaura	1400	とつげき	*	Sega Ja F0 Uy Why	*
竜	16	エウセントロサウルス	1200	ハンター	*	SEGAW1P3VOQ1	*	Dragon	16	Eustenkosaurus	1200	Hunter	*	SEGAW1P3VOQ1	*
竜	33	アンベロサウルス	2000	ハンター	*	SEGAPUTIULWF	*	Dragon	33	Anberosaurus	2000	Hunter	*	Sega Tatiulw	*
竜	34	タルキア	1800	ゆうき	*	SEGAIDUKH2K9	*	Dragon	0 34	Talchia	1800	Yuuki	*	SEGAIDUKH2K9	*
竜	35	ヤンチュアノサウルス	1600	とつげき	*	SEGAFE17ODLA	*	Dragon	0 35	Yanchuanosaurus	1600	とつげき	*	Segafe 17dla	*
竜	36	シンラプトル	1400	ゆうき	*	SEGA3E0BZ3EN	*	Dragon	36	Shinraptor	1400	Yuuki	*	Sega 3E0 BZ3EN	*
竜	37	アケロウサウルス	1200	ゆうき	*	SEGAC8UVNUPP	*	Dragon	37	Akelosaurus	1200	Yuuki	*	SEGAC 8 UV NUPPP	*
竜	38	ムツタブラサウルス	1000	ハンター	*	SEGAUGF4DXZ9	*	Dragon	38	Mutstaburasaurus	1000	Hunter	*	Sagag F 4 DX Z9	*
技	68	ライフチェンジ	!	-	*	SEGA8XO21ARZ	*	Techniques	68	Life change	!	-	*	SEGA 8XO21ARZ	*
技	69	あいこアタック	!	-	*	SEGAMG6D1PRQ	*	Techniques	69	Aiko Attack	!	-	*	SEGAMG 6D1PRQ	*
技	70	アクトダイス	!	-	*	SEGARZARDFAZ	*	Techniques	70	Actodice	!	-	*	Segarzadaz	*
炎	75	マグマブラスター	-	-	*	SEGAZ45VLQA6	*	Flames	75	Magma Blaster	-	-	*	SEGAZ 45VLQA6	*
水	79	アクアボルテックス	-	-	*	SEGAGVW59FZT	*	Water	79	Aquavortex	-	-	*	SEGAGVW59FZT	*
雷	85	ブリッツカウンター	-	-	*	SEGA0W35YNC5	*	Thunder	85	Blitz Counter	-	-	*	SEGA0W35YNC5	*
土	89	クリスタルブレイク	-	-	*	SEGAYR2KGG6A	*	Sat	89	Crystal Break	-	-	*	SEGAYR 2KGG6A	*
竜	KS001	タルボサウルス	1200	ふっかつ	*	SEGA8XYHMLW4	*	Dragon	KS001	Tarbosaurus	1200	ふっかつ	*	Sega 8XYHMLW4	*
竜	KS002	モノロフォサウルス	1200	ふっかつ	*	SEGAHJ96ST0L	*	Dragon	KS002	Monolophosaurus	1200	ふっかつ	*	Segah J96 ST0L	*
竜	KS003	ディロフォサウルス	1000	ふっかつ	*	SEGAAQ6H8M9B	*	Dragon	KS003	Dilophosaurus	1000	ふっかつ	*	SEGAAQ6H8M9B	*
竜	KS004	エウオプロケファルス	2000	ふっかつ	*	SEGA4CX3FUHR	*	Dragon	KS004	Eou Procefals	2000	ふっかつ	*	SEGA4CX3 FUHR	*
竜	-	テリジノサウルス	?	カウンター	*	SEGAV92OTJLZ	*	Dragon	-	Terriginosaurus	?	Counter	*	SEGAV92 OTJLZ	*
竜	EGG-003-竜	アクト恐竜のたまご	-	-	*	SEGAOCB6OWPS	*	Dragon	EGG-003-Dragon	Category: Eggs of an act dinosaur	-	-	*	Sega Ocb 6 wps	*
竜	EGG-004-竜	雷のたまご	-	-	*	SEGAB1Z8LZYG	*	Dragon	EGG-004-Dragon	Thunder Eggs	-	-	*	SEGAB1Z8LZYG	*
竜	EGG-005-竜	炎のたまご	-	-	*	SEGAH6VL5XN2	*	Dragon	EGG-005-Dragon	Eggs of Fire	-	-	*	SEGAH6VL5XN2	*
竜	EGG-006-竜	風のたまご	-	-	*	SEGAG7MN0RXA	*	Dragon	EGG-006-Dragon	The wind egg.	-	-	*	SEGAG7 MN0RXA	*
竜	EGG-007-竜	土のたまご	-	-	*	SEGA71SZNSVN	*	Dragon	EGG-007-Dragon	Soil eggs	-	-	*	SEGA71 SZN SVN	*
竜	EGG-008-竜	水のたまご	-	-	*	SEGAK1X7W2HZ	*	Dragon	EGG-008-Dragon	Eggs of water	-	-	*	SEGAK1X7W2HZ	*
竜	EGG-009-竜	草のたまご	-	-	*	SEGAPFOE71QU	*	Dragon	EGG-009-Dragon	Eggs of Grass	-	-	*	SEGAPFOE 71QU	*
竜	EX05	サウロファガナクス	2000	超こうげき	*	SEGAF1C7TSUO	*	Dragon	EX05	Saurophaganax	2000	Super Kogeki	*	SEGAF1C7TSUO	*
-	-	【第４紀】	-	-	-	-	-	-	-	[The 4th century]	-	-	-	-	-
竜	SP07	テリジノサウルス	2000	まもり	*	SEGA7BBJKSV6	*	Dragon	SP07	Terriginosaurus	2000	Mamori	*	SEGA7 BB J K SV 6	*
竜	SP08	パキケファロサウルス	2000	あいこ	*	SEGAZ0NJFH34	*	Dragon	SP08	Paquikefarosaurus	2000	Aiko	*	SEGAZ0NJFH34	*
竜	SP09	ディノニクス	2000	こうげき	*	SEGAV5A9EWR2	*	Dragon	SP09	Dinonics	2000	Kogeki	*	SEGAV5A9EWR2	*
竜	KS005	アクロカントサウルス	1400	ふっかつ	*	SEGA492VEHU7	*	Dragon	KS005	Acrocantosaurus	1400	ふっかつ	*	Sega 492 VEHU7	*
竜	KS006	サウロロフス	2000	ふっかつ	*	SEGA3KZ9COJV	*	Dragon	KS006	Saurolovus	2000	ふっかつ	*	SEGA3KZ9COJV	*
竜	KS007	シンラプトル	1400	ふっかつ	*	SEGATNIBATHJ	*	Dragon	KS007	Shinraptor	1400	ふっかつ	*	Sega Twitch J	*
竜	4	カルノタウルス	2000	ゆうき	*	SEGARCMMAII6	*	Dragon	4	Carnotaurus	2000	Yuuki	*	Segarch MMA II 6	*
竜	10	トロサウルス	1600	ゆうき	*	SEGAZSC0KBU3	*	Dragon	10	Torosaurus	1600	Yuuki	*	SEGAZSC0KBU3	*
竜	16	サウロペルタ	1600	ゆうき	*	SEGA3CY29KZ1	*	Dragon	16	Sauloperta	1600	Yuuki	*	SEGA3CY29KZ1	*
竜	28	アンペロサウルス	2000	ハンター	*	SEGAPUTIULWF	*	Dragon	28	Amperosaurus	2000	Hunter	*	Sega Tatiulw	*
竜	29	ペンタケラトプス	2000	ハンター	*	SEGAWGNJK3E8	*	Dragon	29	Pentegratops	2000	Hunter	*	SEGAWG NJ K 3E8	*
竜	31	マジュンガサウルス	1800	とつげき	*	SEGALOFWM9U4	*	Dragon	31	Majungasaurus	1800	とつげき	*	SEGALO F M 9U4	*
竜	33	アナトティタン	1600	ゆうき	*	SEGA7Y8P9VX6	*	Dragon	33	Anatotitan	1600	Yuuki	*	SEGA7Y8P9VX6	*
竜	34	ディクラエオサウルス	1400	とっしん	*	SEGAXI2EDT6D	*	Dragon	0 34	Diclaeosaur	1400	Tosshin	*	SEGAXI2EDT 6D	*
竜	35	アルバートサウルス	1200	ゆうき	*	SEGAYGL1H4LK	*	Dragon	0 35	Albertsaurus	1200	Yuuki	*	Segaygl1H4LK	*
竜	37	タラルルス	1000	とっしん	*	SEGAISE6W3Z6	*	Dragon	37	Taralullus	1000	Tosshin	*	SEGAISE6 W3Z6	*
技	71	ぬいぐるびーむ	-	-	*	SEGAR2OG7JWH	*	Techniques	71	ぬいぐるびーむ	-	-	*	SEGAR2OG7 JWH	*
雷	86	ガトリングスパーク	-	-	*	SEGABUW7B23K	*	Thunder	86	Gatling Spark	-	-	*	Segabuw 7B 23K	*
風	100	カゲロウ	-	-	*	SEGA93PXRR82	*	The wind.	100	Kagero	-	-	*	SEGA 93 PX RR 82	*
竜	-	ゴジラサウルス	1000	とつげき	*	SEGADYE28DRW	*	Dragon	-	Godzillasaurus	1000	とつげき	*	Sega Drew	*
技	-	恐竜のおなら(デスグラインド)	500	-	*	SEGA4N2Q3FH0	*	Techniques	-	Dinosaur Fart (Death Grinding)	500	-	*	SEGA4N2Q3FH0	*
-	-	【第４紀＋プラス】	-	-	-	-	-	-	-	[4th century + plus]	-	-	-	-	-
竜	AN10	ブラックティラノサウルス	2000	デス	*	SEGADYOCKF1J	*	Dragon	AN 10	Black Tyrannosaurus	2000	Death	*	Sega Dyock F1J	*
竜	23	シュノサウルス	1600	ハンター	*	SEGAQG2STW0D	*	Dragon	02 3	Shnosaurus	1600	Hunter	*	SEGAQG2STW0D	*
竜	33	モノクロニウス	1200	とつげき	*	SEGANFFE1GIL	*	Dragon	33	Monotony	1200	とつげき	*	Segan F F F F 1 Gil	*
竜	34	カロノサウルス	1800	ハンター	*	SEGA3U4JSNYN	*	Dragon	0 34	Caronosaurus	1800	Hunter	*	SEGA3U4JSNYN	*
竜	46	リリエンステルヌス	1000	ゆうき	*	SEGA9SYW9V9R	*	Dragon	46	Liliensternus	1000	Yuuki	*	SEGA9SYW9V9R	*
竜	47	ガストニア	1400	ハンター	*	SEGAHYHVOV6N	*	Dragon	47	Gastonia	1400	Hunter	*	Segahyvov 6n	*
